obj_id,ra,dec,filter,mjd,snr,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF19aadyppr,202.4268445,47.1878343,ztfr,59622.41210650001,-6.048776664002629,1,ZTF,,,None,191819215,[3],,,,ab,19.399068019029542
ZTF19aadyppr,,,ztfr,59600.371088000014,,1,ZTF,,,None,191819238,[3],,,,ab,19.902599334716797
ZTF19aadyppr,,,ztfg,59600.42769679986,,1,ZTF,,,None,191819239,[3],,,,ab,19.86590003967285
ZTF19aadyppr,,,ztfr,59621.45356479986,,1,ZTF,,,None,191819240,[3],,,,ab,20.469200134277344
ZTF19aadyppr,,,ztfg,59621.498182899784,,1,ZTF,,,None,191819241,[3],,,,ab,20.542999267578125
ZTF19aadyppr,202.4266871,47.1878583,ztfr,59622.4125926001,-7.378331696572665,1,ZTF,,,None,191819242,[3],,,,ab,19.67195565892998
ZTF19aadyppr,202.4268445,47.1878343,ztfr,59622.41210650001,-6.048770638244362,1,ZTF,,,None,191819237,[3],,,,ab,19.399043950793768
ZTF19aadyppr,,,ztfr,59600.3701272998,,1,ZTF,,,None,191819213,[3],,,,ab,19.895700454711914
ZTF19aadyppr,,,ztfg,59600.428657399956,,1,ZTF,,,None,191819214,[3],,,,ab,19.844900131225586
ZTF19aadyppr,,,ztfr,59670.35980319977,,1,ZTF,,,None,203867851,[3],,,,ab,20.9237003326416
ZTF19aadyppr,,,ztfg,59670.40258099977,,1,ZTF,,,None,203867852,[3],,,,ab,21.00200080871582
ZTF19aadyppr,,,ztfr,59671.35164349992,,1,ZTF,,,None,203867853,[3],,,,ab,20.841100692749023
ZTF19aadyppr,,,ztfi,59671.38908560015,,1,ZTF,,,None,203867854,[3],,,,ab,20.295400619506836
ZTF19aadyppr,,,ztfg,59671.43685190007,,1,ZTF,,,None,203867855,[3],,,,ab,20.965599060058594
ZTF19aadyppr,,,ztfg,59671.44293980021,,1,ZTF,,,None,203867856,[3],,,,ab,20.868000030517578
ZTF19aadyppr,,,ztfr,59671.48880789988,,1,ZTF,,,None,203867857,[3],,,,ab,20.75550079345703
ZTF19aadyppr,,,ztfg,59672.30567129981,,1,ZTF,,,None,203867858,[3],,,,ab,21.047399520874023
ZTF19aadyppr,,,ztfr,59673.3009722,,1,ZTF,,,None,203867859,[3],,,,ab,20.659500122070312
ZTF19aadyppr,,,ztfg,59673.32113429997,,1,ZTF,,,None,203867860,[3],,,,ab,20.72800064086914
ZTF19aadyppr,,,ztfg,59672.32807870023,,1,ZTF,,,None,203867839,[3],,,,ab,20.98200035095215
ZTF19aadyppr,,,ztfg,59675.32615739992,,1,ZTF,,,None,203867840,[3],,,,ab,20.768800735473633
ZTF19aadyppr,,,ztfr,59675.34353009984,,1,ZTF,,,None,203867841,[3],,,,ab,20.70490074157715
ZTF19aadyppr,,,ztfg,59677.32203700021,,1,ZTF,,,None,203867842,[3],,,,ab,20.223400115966797
ZTF19aadyppr,,,ztfr,59677.38653940009,,1,ZTF,,,None,203867843,[3],,,,ab,20.326799392700195
ZTF19aadyppr,,,ztfr,59679.217719899956,,1,ZTF,,,None,203867844,[3],,,,ab,20.348400115966797
ZTF19aadyppr,,,ztfg,59679.27918979991,,1,ZTF,,,None,203867845,[3],,,,ab,20.280500411987305
ZTF19aadyppr,,,ztfg,59682.221493099816,,1,ZTF,,,None,203867846,[3],,,,ab,19.536699295043945
ZTF19aadyppr,,,ztfr,59682.31988430023,,1,ZTF,,,None,203867847,[3],,,,ab,19.86199951171875
ZTF19aadyppr,,,ztfg,59684.30636569997,,1,ZTF,,,None,203867848,[3],,,,ab,19.315399169921875
ZTF19aadyppr,,,ztfr,59684.32895829994,,1,ZTF,,,None,203867849,[3],,,,ab,19.87019920349121
ZTF19aadyppr,,,ztfr,59687.38379629981,,1,ZTF,,,None,203867850,[3],,,,ab,19.92340087890625
ZTF19aadyppr,,,ztfg,59682.40452549979,,1,ZTF,,,None,203867894,[3],,,,ab,19.638099670410156
ZTF19aadyppr,,,ztfr,59673.36115740007,,1,ZTF,,,None,203867861,[3],,,,ab,20.65530014038086
ZTF19aadyppr,,,ztfg,59673.404050900135,,1,ZTF,,,None,203867862,[3],,,,ab,20.374300003051758
ZTF19aadyppr,,,ztfg,59674.40343749989,,1,ZTF,,,None,203867863,[3],,,,ab,20.51219940185547
ZTF19aadyppr,,,ztfi,59674.43233799981,,1,ZTF,,,None,203867864,[3],,,,ab,19.901399612426758
ZTF19aadyppr,,,ztfr,59674.44849540014,,1,ZTF,,,None,203867865,[3],,,,ab,20.44969940185547
ZTF19aadyppr,,,ztfr,59674.46606480004,,1,ZTF,,,None,203867866,[3],,,,ab,20.265899658203125
ZTF19aadyppr,,,ztfg,59683.25887730019,,1,ZTF,,,None,203867895,[3],,,,ab,19.6560001373291
ZTF19aadyppr,,,ztfg,59674.488842600025,,1,ZTF,,,None,203867867,[3],,,,ab,20.329500198364258
ZTF19aadyppr,,,ztfr,59683.4125926001,,1,ZTF,,,None,203867896,[3],,,,ab,19.93670082092285
ZTF19aadyppr,,,ztfg,59683.45114579983,,1,ZTF,,,None,203867897,[3],,,,ab,19.60610008239746
ZTF19aadyppr,,,ztfg,59675.15915510012,,1,ZTF,,,None,203867868,[3],,,,ab,20.29759979248047
ZTF19aadyppr,,,ztfr,59684.24158560019,,1,ZTF,,,None,203867898,[3],,,,ab,19.58650016784668
ZTF19aadyppr,,,ztfr,59675.19796299981,,1,ZTF,,,None,203867869,[3],,,,ab,20.411500930786133
ZTF19aadyppr,,,ztfg,59684.28740740009,,1,ZTF,,,None,203867899,[3],,,,ab,19.359600067138672
ZTF19aadyppr,,,ztfr,59684.433553200215,,1,ZTF,,,None,203867900,[3],,,,ab,19.716899871826172
ZTF19aadyppr,,,ztfr,59675.40744209988,,1,ZTF,,,None,203867870,[3],,,,ab,20.597700119018555
ZTF19aadyppr,,,ztfg,59684.4691666998,,1,ZTF,,,None,203867901,[3],,,,ab,19.319400787353516
ZTF19aadyppr,,,ztfg,59675.462256900035,,1,ZTF,,,None,203867871,[3],,,,ab,20.50909996032715
ZTF19aadyppr,,,ztfr,59685.2351505002,,1,ZTF,,,None,203867902,[3],,,,ab,19.75349998474121
ZTF19aadyppr,,,ztfg,59676.31887729978,,1,ZTF,,,None,203867872,[3],,,,ab,20.165000915527344
ZTF19aadyppr,,,ztfi,59685.311192099936,,1,ZTF,,,None,203867903,[3],,,,ab,19.25779914855957
ZTF19aadyppr,,,ztfr,59676.365613400005,,1,ZTF,,,None,203867873,[3],,,,ab,20.056400299072266
ZTF19aadyppr,,,ztfr,59685.37173609994,,1,ZTF,,,None,203867904,[3],,,,ab,19.31760025024414
ZTF19aadyppr,,,ztfg,59676.38839119999,,1,ZTF,,,None,203867874,[3],,,,ab,20.295499801635742
ZTF19aadyppr,,,ztfg,59685.41263889987,,1,ZTF,,,None,203867905,[3],,,,ab,18.94300079345703
ZTF19aadyppr,,,ztfr,59676.45660880022,,1,ZTF,,,None,203867875,[3],,,,ab,19.877199172973633
ZTF19aadyppr,,,ztfi,59677.28348380001,,1,ZTF,,,None,203867876,[3],,,,ab,19.76180076599121
ZTF19aadyppr,,,ztfg,59677.30923609994,,1,ZTF,,,None,203867877,[3],,,,ab,20.252099990844727
ZTF19aadyppr,,,ztfg,59677.345567100216,,1,ZTF,,,None,203867878,[3],,,,ab,20.396299362182617
