start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-04 03:07:45.228,2021-02-04 03:08:15.228,+03:57:29.74,+18:57:0.1,+00:19:38.53,165.782973,69.996332
2021-02-04 03:11:49.807,2021-02-04 03:12:19.807,+03:28:29.75,+18:57:0.1,+00:52:44.12,167.588205,68.786851
2021-02-04 03:15:15.818,2021-02-04 03:15:45.818,+04:11:22.7,+33:21:0.1,+00:13:8.61,159.05854,72.203858
2021-02-04 03:16:37.315,2021-02-04 03:17:07.315,+03:09:6.48,+33:21:0.1,+01:16:50.36,160.654222,68.346326
2021-02-04 03:17:17.994,2021-02-04 03:17:47.994,+02:37:58.37,+33:21:0.1,+01:48:40.63,158.00257,64.158348
2021-02-04 03:17:58.602,2021-02-04 03:18:28.602,+03:09:6.48,+33:21:0.1,+01:18:11.59,157.039719,68.511154
2021-02-04 03:18:39.070,2021-02-04 03:19:09.070,+03:03:54.14,+40:33:0.1,+01:24:0.43,151.244075,70.179254
2021-02-04 03:19:19.610,2021-02-04 03:19:49.610,+03:38:5.68,+40:33:0.1,+00:50:27.44,147.751352,73.327506
2021-02-04 03:20:00.105,2021-02-04 03:20:30.105,+03:03:54.14,+40:33:0.1,+01:25:22.6,150.235987,70.079039
2021-02-04 03:20:44.439,2021-02-04 03:21:14.439,+01:52:32.48,+54:57:0.1,+02:37:27.46,136.391135,59.677349
2021-02-04 03:21:29.475,2021-02-04 03:21:59.475,+00:34:17.14,+69:21:0.1,+03:56:37.32,117.117879,38.266268
2021-02-04 03:22:10.409,2021-02-04 03:22:40.409,+00:47:60,+76:33:0.1,+03:43:23.17,112.103058,44.006264
2021-02-04 03:24:15.561,2021-02-04 03:24:45.561,+02:49:26.69,+47:45:0.1,+01:44:2.36,128.491328,73.458245
2021-02-04 03:30:39.047,2021-02-04 03:31:09.047,+05:13:38.93,+33:20:59.9,-00:33:43.05,159.276582,65.399485
2021-02-04 03:33:04.664,2021-02-04 03:33:34.664,+05:29:56.18,-24:15:0.1,-00:47:4.67,128.670111,89.090171
2021-02-04 03:33:45.155,2021-02-04 03:34:15.155,+05:18:6.8,-17:03:0.1,-00:34:38.05,134.712421,89.507223
2021-02-04 03:35:46.868,2021-02-04 03:36:16.868,+05:01:23.48,+04:32:59.9,-00:16:3.84,156.940362,77.397857
2021-02-04 03:36:28.547,2021-02-04 03:36:58.547,+04:55:29.64,+18:57:00,-00:09:34.93,163.423022,66.421047
