Julian Date,Mag
2458229.29201,15.453
2458229.295,15.489
2458229.29797,15.412
2458229.30095,15.352
2458229.30392,15.372
2458229.30691,15.359
2458229.30988,15.369
2458229.31287,15.364
2458229.31585,15.344
2458229.31884,15.359
2458229.32181,15.325
2458229.32479,15.391
2458229.32776,15.381
2458229.33075,15.452
2458229.33372,15.5
2458229.34598,15.766
2458229.34895,15.789
2458229.35194,15.898
2458229.35492,15.951
2458229.35789,16.014
2458229.36088,15.951
2458229.36385,15.924
2458229.36682,15.9
2458229.36981,15.961
2458229.37279,15.952
2458229.37576,15.977
2458229.37873,15.949
2458231.28249,15.449
2458231.2854,15.439
2458231.28833,15.423
2458231.29121,15.423
2458231.29418,15.419
2458231.29712,15.405
2458231.30001,15.363
2458231.30293,15.404
2458231.30583,15.407
2458231.30876,15.441
2458231.31165,15.434
2458231.31457,15.513
2458231.31746,15.552
2458231.32043,15.61
2458231.32335,15.646
2458231.32627,15.716
2458231.32919,15.763
2458231.33204,15.814
2458231.33492,15.865
2458231.35118,16.169
2458231.35411,16.05
2458231.35702,16.073
2458231.35995,16.129
2458231.36288,15.997
2458231.3658,16.072
2458231.37268,15.979
2458231.37891,15.928
2458231.38223,15.783
2458231.3851,15.767
2458231.38798,15.738
2458231.39094,15.694
2458231.39425,15.675
2458231.39716,15.594
2458231.4001,15.546
2458231.403,15.508
2458231.40598,15.51
2458231.40893,15.451
2458231.41184,15.454
2458231.41474,15.443
2458231.41767,15.406
2458231.4206,15.416
2458231.42356,15.392
2458231.4265,15.42
2458231.42943,15.447
2458231.43244,15.467
2458231.43535,15.498
2458231.43824,15.506
2458231.44118,15.572
2458231.44408,15.609
2458231.44701,15.655
2458231.44996,15.692
2458231.45289,15.698
2458231.45584,15.729
2458231.45877,15.788
2458231.46172,15.793
2458231.46464,15.921
2458231.46756,15.952
2458231.4705,15.993
2458231.47342,16.082
2458231.47635,16.096
2458231.47927,16.121
2458231.48222,16.105
2458231.48516,16.08
2458231.48807,16.071
2458231.49098,16.152
2458231.49392,16.09
2458231.49685,15.968
2458231.49971,15.907
2458231.50272,15.827
2458231.50563,15.777
2458231.50856,15.719
2458231.51148,15.751
2458231.5144,15.641
2458232.3067,15.519
2458232.30969,15.553
2458232.31304,15.582
2458232.31596,15.632
2458232.31889,15.699
2458232.32182,15.739
2458232.32473,15.837
2458232.32765,15.932
2458232.33356,16.061
2458232.3365,16.092
2458232.3394,16.046
2458232.34231,16.143
2458232.34525,16.123
2458232.34813,16.109
2458232.351,16.084
2458232.35388,16.157
2458232.35682,16.106
2458232.35974,16.044
2458232.36268,16.001
2458232.36559,15.981
2458232.36856,15.915
2458232.37564,15.862
2458232.37856,15.74
2458232.38144,15.781
2458232.38434,15.688
2458232.38725,15.616
2458232.39018,15.594
2458232.39308,15.578
2458232.396,15.529
2458232.39889,15.461
2458232.40176,15.472
2458232.40466,15.475
2458232.40753,15.479
2458232.41044,15.456
2458232.41332,15.425
2458232.41624,15.48
2458232.41913,15.464
2458232.42204,15.477
2458232.42497,15.525
2458232.42788,15.526
2458232.4308,15.548
2458232.43371,15.586
2458232.43661,15.588
2458232.43952,15.644
2458232.44243,15.701
2458232.44535,15.803
2458232.44827,15.8
2458232.45115,15.865
2458232.45408,15.928
2458232.45698,15.99
2458232.4599,16.049
2458232.46282,16.085
2458232.46571,16.161
2458232.46861,16.176
2458232.47152,16.134
2458232.47445,16.192
2458232.47735,16.203
2458232.48027,16.178
2458232.48317,16.19
2458232.48608,16.143
2458232.48901,16.041
2458232.49192,15.965
2458233.27067,15.507
2458233.27362,15.428
2458233.27651,15.476
2458233.27941,15.428
2458233.28229,15.422
2458233.28516,15.435
2458233.28809,15.418
2458233.291,15.433
2458233.29391,15.476
2458233.2968,15.504
2458233.29971,15.521
2458233.30261,15.591
2458233.30553,15.583
2458233.30843,15.668
2458233.31134,15.728
2458233.31423,15.801
2458233.31711,15.829
2458233.32002,15.911
2458233.32384,15.988
2458233.32679,16.109
2458233.32969,16.092
2458233.33262,16.08
2458233.33553,16.078
2458233.33843,16.108
2458233.34133,16.131
2458233.34422,16.112
2458233.34714,16.151
2458233.35008,16.127
2458233.353,16.087
2458233.35586,16.081
2458233.35878,16.034
2458233.36171,16.001
2458233.37225,15.797
2458233.37523,15.755
2458233.37813,15.694
2458233.38112,15.645
2458233.38406,15.629
2458233.38696,15.545
2458233.38988,15.573
2458233.39278,15.522
2458233.39569,15.507
2458233.39862,15.466
2458233.40153,15.461
2458233.40446,15.469
2458233.40741,15.425
2458233.41032,15.446
2458233.41326,15.431
2458233.41626,15.48
2458233.41925,15.506
2458233.42218,15.52
2458233.42511,15.55
2458233.42804,15.575
2458233.43094,15.648
2458233.43388,15.673
2458233.43686,15.698
2458233.43982,15.751
2458233.44272,15.802
2458233.44564,15.863
2458233.44857,15.931
2458233.4515,15.953
2458233.45447,16.019
2458233.45741,16.014
2458233.46034,16.079
2458233.46329,16.101
2458233.46621,16.222
2458233.4691,16.087
2458233.47214,16.125
2458233.47505,16.104
2458233.47799,16.116
2458233.48089,16.07
2458233.48377,15.986
2458233.4867,15.953
2458233.48961,15.824
2458233.49261,15.82
