JD,V Magnitude
2452278.5862,4.1
2452280.5987,3.67
2452332.6069,3.7
2452389.5937,3.98
2452392.5868,3.67
2452654.5708,3.85
2452661.5625,4.18
2455124.85111,3.826
2455127.85902,4.135
2455128.81595,4.081
2455128.89227,4.067
2455128.96671,4.078
2455129.81333,3.965
2455129.89052,3.956
2455129.96417,3.931
2455131.80867,3.76
2455131.89898,3.793
2455131.97473,3.782
2455135.8757,3.956
2455135.94923,3.992
2455139.82299,3.963
2455139.98445,3.952
2455140.76168,3.852
2455140.83712,3.888
2455140.91204,3.832
2455141.76114,3.785
2455141.83488,3.769
2455141.91021,3.783
2455141.98249,3.782
2455144.73778,3.728
2455144.81106,3.772
2455144.88532,3.775
2455144.9572,3.789
2455145.74147,3.835
2455145.81516,3.882
2455145.89232,3.899
2455145.96668,3.919
2455146.78991,4.027
2455146.87426,4.032
2455146.95678,4.039
2455151.77464,3.794
2455151.86041,3.785
2455151.94527,3.796
2455152.78484,3.711
2455153.73132,3.64
2455153.85526,3.678
2455153.9465,3.684
2455154.90403,3.759
2455154.98687,3.785
2455155.81751,3.842
2455155.92385,3.874
2455156.73215,4.016
2455156.86219,4.024
2455156.94458,4.038
2455213.3646,3.83
2455234.3889,3.66
2455244.64071,3.629
2455244.64071,3.638
2455245.2944,3.78
2455245.3292,3.78
2455249.3424,4.2
2455250.4563,4.2
2455255.3556,3.73
2455257.3806,3.92
2455261.3521,4.09
2455263.3271,3.84
2455264.3729,3.8
2455265.434,3.79
2455269.69887,4.128
2455269.69887,4.135
2455271.76963,3.995
2455271.77014,4.01
2455272.69653,3.867
2455272.69653,3.859
2455273.69126,3.754
2455273.69126,3.753
2455274.4056,3.74
2455276.70687,3.741
2455276.70687,3.733
2455277.65228,3.883
2455277.65228,3.871
2455282.3201,4.04
2455283.3236,3.84
2455283.70846,3.765
2455284.7059,3.68
2455284.7059,3.679
2455285.3597,3.69
2455285.68806,3.705
2455285.68806,3.712
2455290.70446,4.144
2455291.70344,4.103
2455293.2889,3.87
2455293.70084,3.792
2455294.69683,3.743
2455295.3028,3.7
2455295.6963,3.672
2455295.69632,3.697
2455296.69047,3.681
2455296.69047,3.671
2455300.67221,4.174
2455300.67221,4.19
2455304.3417,3.79
2455305.3243,3.72
2455312.309,4
2455312.66236,3.955
2455315.3201,3.69
2455505.91274,3.87
2455506.90436,3.761
2455507.90134,3.675
2455508.9042,3.644
2455510.90001,3.835
2455511.8946,3.979
2455513.93142,4.145
2455514.87511,4.055
2455534.02061,4.154
2455539.01897,3.645
2455540.02958,3.698
2455541.02416,3.802
2455543.96604,4.153
2455544.93091,4.101
2455565.90185,3.992
2455571.88148,3.877
2455572.87859,3.984
2455574.83094,4.144
2455575.82945,4.034
2455576.86015,3.877
2455577.8588,3.789
2455582.84472,3.938
2455583.81928,4.095
2455587.86605,3.815
2455588.85084,3.716
2455589.83086,3.658
2455590.82877,3.682
2455591.82647,3.816
2455600.76886,3.693
2455601.3014,3.8
2455602.2743,3.9
2455602.76522,3.907
2455603.79162,4.058
2455604.67276,4.146
2455605.74579,4.084
2455606.74318,3.975
2455608.71539,3.761
2455609.71134,3.654
2455614.7625,4.143
2455617.2972,4
2455617.72461,3.88
2455618.3,3.92
2455620.2986,3.72
2455621.73948,3.718
2455622.3,3.94
2455622.80984,4.031
2455623.73451,3.97
2455624.2806,4.22
2455625.2854,4.2
2455625.73228,4.106
2455626.3319,4.17
2455627.259,4.02
2455628.3493,3.87
2455629.2951,3.79
2455630.3514,3.63
2455630.7375,4.217
2455631.3035,3.73
2455638.74536,3.724
2455641.3972,3.72
2455642.3167,3.83
2455643.3083,3.96
2455644.2979,4.11
2455645.2931,4.24
2455648.58056,3.799
2455650.3097,3.71
2455651.3146,3.73
2455653.291,3.89
2455654.2931,4.1
2455655.3014,4.15
2455883.731,3.7
2455921.693,3.973
2455923.71,3.775
2455927.718,4.017
2455929.729,4.196
2455931.636,4.012
2455937.615,3.993
2455938.615,4.117
2455942.621,3.909
2455944.66,3.727
2455946.62,3.842
2455948.65,4.11
2455951.568,4.054
2455956.551,3.795
2455957.612,3.931
2455958.62,4.058
2455979.164,4.03
2455980.165,4.077
2455981.201,4.107
2455986.176,3.687
2455993.2,3.872
2455994.258,3.837
2455995.209,3.721
2455996.242,3.705
2455997.197,3.771
2455999.198,4.052
2456000.208,4.163
2456001.198,4.155
2456002.212,4.055
2456003.218,3.976
2456004.25,3.828
2456005.217,3.766
2456006.188,3.698
2456008.204,3.913
2456009.202,4.042
2456010.201,4.139
2456011.215,4.176
2456012.192,4.105
2456014.2,3.872
2456016.164,3.695
2456021.183,4.207
2456022.167,4.122
2456023.164,4.019
2456024.183,3.908
2456025.158,3.845
2456027.211,3.743
2456028.166,3.909
2456029.182,4.086
2456030.161,4.202
2456031.13,4.215
2456035.148,3.894
2456039.128,3.987
2457684.86297,4.123
2457686.7707,4.063
2457696.79695,4.098
2457697.82057,3.99
2457698.80927,3.838
2457699.77808,3.734
2457701.84047,3.724
2457702.89709,3.787
2457712.75787,3.784
2457719.76986,3.781
2457736.68409,4.165
2457741.78472,3.649
2457743.69048,3.875
2457750.6572,3.733
2457751.70038,3.658
2457754.69734,3.999
2457759.68096,3.854
2457760.80688,3.677
2457761.64072,3.686
2457768.60423,3.985
2457781.73665,3.589
