,jd,mag,mag_unc,filter,limmag,programid
0,44244.113369130835,99.0,99.0,g,18.21371906989749,0.0
1,44244.70684135382,21.114898545290394,0.1955542224943361,g,25.0,0.0
2,44244.744364553626,99.0,99.0,r,20.60827474567957,0.0
3,44245.70684135382,21.369738879242895,0.1826491816423234,g,25.0,0.0
4,44245.744364453974,20.909103503130474,0.1976432121581404,r,25.0,0.0
5,44247.04836643266,99.0,99.0,i,20.239548040018107,0.0
6,44247.160767473564,99.0,99.0,r,19.67915619609671,0.0
7,44247.210130873886,99.0,99.0,g,20.605447027468216,0.0
8,44250.07842016939,99.0,99.0,i,20.879482295920027,0.0
9,44251.09035531528,99.0,99.0,r,20.208483704763527,0.0
10,44251.15080671528,99.0,99.0,g,19.290275961309714,0.0
11,44253.06599357421,99.0,99.0,g,20.208111695193715,0.0
12,44255.05123516779,99.0,99.0,g,18.68929025931697,0.0
13,44255.07187176777,99.0,99.0,r,20.896198725693388,0.0
14,44256.04523613792,99.0,99.0,i,20.017771193393486,0.0
15,44257.072409996785,99.0,99.0,g,19.854722552579638,0.0
16,44257.093243296746,99.0,99.0,r,18.969306583299,0.0
17,44259.06611827594,99.0,99.0,i,19.656528005963516,0.0
18,44259.125448376195,99.0,99.0,g,20.70495650580374,0.0
19,44259.15448767624,99.0,99.0,r,19.634641378802172,0.0
20,44262.09997414945,99.0,99.0,r,19.850666968752396,0.0
21,44262.15416394927,99.0,99.0,g,20.975450621234096,0.0
